"Time (MJD)" LCO/CSP.B LCO/CSP.B_err LCO/CSP.V LCO/CSP.V_err LCO/CSP.g LCO/CSP.g_err LCO/CSP.i LCO/CSP.i_err LCO/CSP.r LCO/CSP.r_err LICK/LICK.B LICK/LICK.B_err LICK/LICK.V LICK/LICK.V_err Misc/Atlas.cyan Misc/Atlas.cyan_err Misc/Atlas.orange Misc/Atlas.orange_err PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err Palomar/ZTF.g Palomar/ZTF.g_err Palomar/ZTF.r Palomar/ZTF.r_err SLOAN/SDSS.gprime_filter SLOAN/SDSS.gprime_filter_err SLOAN/SDSS.iprime_filter SLOAN/SDSS.iprime_filter_err SLOAN/SDSS.rprime_filter SLOAN/SDSS.rprime_filter_err SLOAN/SDSS.zprime_filter SLOAN/SDSS.zprime_filter_err Swift/UVOT.B Swift/UVOT.B_err Swift/UVOT.U Swift/UVOT.U_err Swift/UVOT.UVM2 Swift/UVOT.UVM2_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err Swift/UVOT.UVW2 Swift/UVOT.UVW2_err Swift/UVOT.V Swift/UVOT.V_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-1.000 -19.391 -0.131 -19.371 -0.128 -18.778 -0.136 -17.918 -0.143 -17.119 -0.157 -17.057 -0.157 -16.817 -0.176 -16.295 -0.098 -16.286 -0.092 -16.277 -0.089 -16.304 -0.135 -16.889 -0.319 -16.804 -0.168 -16.759 -0.167 -16.641 -0.195 -16.454 -0.180 -16.527 -0.160 -16.558 -0.155 -16.327 -0.178 -16.043 -0.118 -15.638 -0.381 -15.817 -0.273 -15.993 -0.195 -15.166 -0.327 -16.545 -0.206 40.000 46.503 0.118 0.096 43.402 43.881
-0.900 -19.217 -0.118 -19.199 -0.117 -18.649 -0.124 -17.853 -0.130 -17.093 -0.145 -17.031 -0.145 -16.789 -0.166 -16.314 -0.088 -16.304 -0.082 -16.295 -0.079 -16.321 -0.126 -16.889 -0.312 -16.799 -0.155 -16.753 -0.155 -16.634 -0.184 -16.448 -0.167 -16.525 -0.148 -16.557 -0.142 -16.329 -0.167 -16.058 -0.106 -15.650 -0.369 -15.830 -0.261 -16.007 -0.180 -15.199 -0.312 -16.553 -0.190 40.000 41.784 0.118 0.087 43.402 43.834
-0.800 -19.042 -0.106 -19.026 -0.106 -18.520 -0.112 -17.787 -0.118 -17.067 -0.133 -17.004 -0.133 -16.761 -0.156 -16.333 -0.079 -16.323 -0.072 -16.314 -0.068 -16.340 -0.118 -16.889 -0.305 -16.793 -0.142 -16.746 -0.142 -16.626 -0.173 -16.442 -0.155 -16.522 -0.135 -16.556 -0.129 -16.332 -0.155 -16.073 -0.095 -15.662 -0.357 -15.843 -0.248 -16.022 -0.166 -15.232 -0.297 -16.560 -0.174 40.000 36.766 0.118 0.077 43.402 43.778
-0.700 -18.866 -0.095 -18.853 -0.095 -18.391 -0.101 -17.722 -0.106 -17.040 -0.122 -16.977 -0.122 -16.733 -0.147 -16.354 -0.070 -16.344 -0.063 -16.334 -0.059 -16.359 -0.110 -16.889 -0.299 -16.786 -0.130 -16.739 -0.130 -16.618 -0.162 -16.435 -0.143 -16.519 -0.123 -16.555 -0.117 -16.334 -0.144 -16.088 -0.084 -15.674 -0.345 -15.855 -0.237 -16.036 -0.151 -15.266 -0.282 -16.567 -0.158 40.000 30.709 0.119 0.065 43.414 43.711
-0.600 -18.689 -0.084 -18.680 -0.085 -18.263 -0.090 -17.657 -0.095 -17.014 -0.111 -16.950 -0.111 -16.705 -0.138 -16.376 -0.062 -16.366 -0.054 -16.355 -0.050 -16.379 -0.103 -16.889 -0.293 -16.779 -0.118 -16.731 -0.119 -16.610 -0.152 -16.427 -0.132 -16.515 -0.111 -16.553 -0.105 -16.337 -0.132 -16.104 -0.074 -15.686 -0.334 -15.868 -0.225 -16.050 -0.137 -15.300 -0.268 -16.574 -0.142 40.000 25.781 0.119 0.055 43.414 43.634
-0.500 -18.512 -0.074 -18.506 -0.076 -18.134 -0.080 -17.591 -0.084 -16.986 -0.100 -16.922 -0.101 -16.677 -0.130 -16.399 -0.055 -16.389 -0.047 -16.378 -0.043 -16.399 -0.096 -16.888 -0.288 -16.772 -0.107 -16.722 -0.108 -16.601 -0.143 -16.419 -0.121 -16.510 -0.099 -16.550 -0.093 -16.340 -0.121 -16.120 -0.065 -15.698 -0.322 -15.881 -0.214 -16.064 -0.124 -15.334 -0.254 -16.581 -0.127 40.000 20.674 0.120 0.045 43.422 43.546
-0.400 -18.333 -0.064 -18.332 -0.067 -18.006 -0.070 -17.526 -0.074 -16.959 -0.090 -16.894 -0.091 -16.648 -0.122 -16.423 -0.049 -16.413 -0.041 -16.402 -0.037 -16.420 -0.089 -16.887 -0.283 -16.763 -0.096 -16.713 -0.097 -16.592 -0.134 -16.411 -0.111 -16.505 -0.088 -16.547 -0.082 -16.344 -0.110 -16.136 -0.057 -15.710 -0.311 -15.894 -0.203 -16.078 -0.111 -15.369 -0.240 -16.588 -0.112 40.000 16.269 0.121 0.036 43.427 43.445
-0.300 -18.155 -0.056 -18.159 -0.059 -17.878 -0.061 -17.461 -0.065 -16.931 -0.081 -16.866 -0.082 -16.619 -0.115 -16.448 -0.043 -16.439 -0.036 -16.427 -0.033 -16.441 -0.083 -16.886 -0.278 -16.755 -0.085 -16.704 -0.088 -16.584 -0.126 -16.401 -0.101 -16.499 -0.077 -16.543 -0.071 -16.348 -0.099 -16.153 -0.052 -15.723 -0.300 -15.906 -0.192 -16.091 -0.098 -15.404 -0.227 -16.594 -0.098 40.000 12.431 0.122 0.028 43.433 43.332
-0.200 -17.975 -0.048 -17.985 -0.052 -17.749 -0.053 -17.396 -0.058 -16.903 -0.072 -16.837 -0.073 -16.591 -0.108 -16.474 -0.039 -16.465 -0.032 -16.453 -0.031 -16.463 -0.078 -16.885 -0.274 -16.745 -0.075 -16.694 -0.078 -16.575 -0.119 -16.391 -0.091 -16.492 -0.067 -16.538 -0.061 -16.353 -0.088 -16.169 -0.048 -15.736 -0.289 -15.919 -0.182 -16.104 -0.086 -15.439 -0.215 -16.601 -0.084 40.000 9.359 0.123 0.021 43.438 43.210
-0.100 -17.796 -0.042 -17.812 -0.046 -17.622 -0.047 -17.331 -0.051 -16.875 -0.065 -16.808 -0.065 -16.562 -0.102 -16.499 -0.035 -16.491 -0.029 -16.479 -0.030 -16.484 -0.072 -16.884 -0.270 -16.735 -0.066 -16.683 -0.070 -16.566 -0.112 -16.381 -0.083 -16.484 -0.057 -16.533 -0.051 -16.358 -0.078 -16.187 -0.046 -15.749 -0.278 -15.933 -0.172 -16.118 -0.074 -15.475 -0.202 -16.607 -0.070 40.000 7.397 0.123 0.017 43.438 43.103
