"Time (MJD)" Generic/Bessell.B Generic/Bessell.B_err Generic/Bessell.U Generic/Bessell.U_err Generic/Bessell.V Generic/Bessell.V_err SLOAN/SDSS.i SLOAN/SDSS.i_err SLOAN/SDSS.r SLOAN/SDSS.r_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
4.850 16.591 -0.031 16.655 -0.026 16.896 -0.020 16.921 -0.018 17.127 -0.019 17.362 -0.022 16.594 1.157 0.000 0.000 29.181 28.684
5.940 16.574 -0.027 16.613 -0.024 16.849 -0.017 16.870 -0.015 17.070 -0.017 17.305 -0.020 16.236 1.112 0.000 0.000 29.183 28.679
6.860 16.562 -0.025 16.580 -0.022 16.811 -0.015 16.829 -0.014 17.025 -0.015 17.260 -0.019 15.941 1.075 0.000 0.000 29.184 28.675
7.890 16.552 -0.023 16.545 -0.020 16.771 -0.013 16.786 -0.012 16.977 -0.013 17.211 -0.018 15.619 1.034 0.000 0.000 29.184 28.669
8.850 16.546 -0.021 16.516 -0.019 16.735 -0.012 16.749 -0.011 16.935 -0.013 17.168 -0.017 15.327 0.994 0.000 0.000 29.184 28.661
9.930 16.543 -0.020 16.485 -0.018 16.698 -0.011 16.710 -0.010 16.891 -0.012 17.123 -0.017 15.011 0.947 0.000 0.000 29.183 28.650
10.900 16.543 -0.019 16.460 -0.017 16.667 -0.010 16.677 -0.010 16.854 -0.012 17.084 -0.017 14.739 0.903 0.000 0.000 29.182 28.638
11.910 16.548 -0.019 16.437 -0.017 16.637 -0.010 16.646 -0.009 16.819 -0.012 17.047 -0.017 14.466 0.854 0.000 0.000 29.180 28.622
12.840 16.555 -0.019 16.418 -0.016 16.611 -0.009 16.620 -0.009 16.789 -0.012 17.015 -0.017 14.224 0.808 0.000 0.000 29.178 28.605
15.890 16.599 -0.019 16.373 -0.016 16.542 -0.009 16.550 -0.009 16.707 -0.013 16.924 -0.017 13.482 0.656 0.000 0.000 29.168 28.533
16.870 16.620 -0.019 16.364 -0.015 16.525 -0.009 16.533 -0.008 16.686 -0.013 16.900 -0.018 13.256 0.608 0.000 0.000 29.163 28.505
17.910 16.646 -0.019 16.358 -0.015 16.509 -0.009 16.517 -0.008 16.666 -0.013 16.876 -0.018 13.022 0.559 0.000 0.000 29.158 28.473
18.830 16.671 -0.019 16.355 -0.015 16.497 -0.009 16.505 -0.008 16.651 -0.014 16.858 -0.019 12.818 0.518 0.000 0.000 29.153 28.442
19.850 16.703 -0.019 16.354 -0.015 16.486 -0.009 16.495 -0.008 16.637 -0.014 16.840 -0.019 12.596 0.474 0.000 0.000 29.146 28.407
20.950 16.741 -0.019 16.356 -0.015 16.478 -0.009 16.487 -0.008 16.625 -0.014 16.822 -0.020 12.360 0.432 0.000 0.000 29.138 28.369
21.880 16.777 -0.019 16.361 -0.015 16.473 -0.009 16.482 -0.008 16.617 -0.015 16.810 -0.021 12.162 0.401 0.000 0.000 29.130 28.338
22.850 16.816 -0.019 16.369 -0.016 16.470 -0.010 16.479 -0.009 16.611 -0.015 16.799 -0.022 11.957 0.374 0.000 0.000 29.121 28.310
26.830 17.007 -0.020 16.427 -0.017 16.481 -0.013 16.490 -0.011 16.606 -0.017 16.774 -0.027 11.135 0.326 0.000 0.000 29.077 28.248
30.860 17.243 -0.024 16.529 -0.021 16.530 -0.018 16.533 -0.015 16.633 -0.019 16.779 -0.032 10.377 0.325 0.000 0.000 29.022 28.235
32.850 17.373 -0.028 16.594 -0.024 16.567 -0.021 16.565 -0.017 16.655 -0.021 16.790 -0.034 10.037 0.325 0.000 0.000 28.992 28.224
33.840 17.441 -0.030 16.629 -0.025 16.588 -0.022 16.584 -0.019 16.669 -0.022 16.798 -0.034 9.877 0.323 0.000 0.000 28.976 28.215
4.430 16.599 -0.033 16.672 -0.028 16.915 -0.021 16.942 -0.019 17.150 -0.020 17.385 -0.023 16.735 1.175 0.000 0.000 29.180 28.685
6.360 16.568 -0.026 16.598 -0.023 16.831 -0.016 16.851 -0.014 17.049 -0.016 17.284 -0.019 16.101 1.095 0.000 0.000 29.184 28.677
7.900 16.552 -0.023 16.545 -0.020 16.770 -0.013 16.786 -0.012 16.977 -0.013 17.211 -0.018 15.616 1.033 0.000 0.000 29.184 28.669
