"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
215.200 19.472 -0.012 18.945 -0.012 19.277 -0.011 19.743 -0.012 9.370 2.675 0.000 0.000 27.858 27.995
218.200 19.495 -0.009 19.024 -0.009 19.373 -0.010 19.868 -0.012 9.579 2.838 0.000 0.000 27.850 28.005
221.200 19.523 -0.008 19.107 -0.008 19.469 -0.010 19.989 -0.013 9.924 3.158 0.000 0.000 27.850 28.036
239.200 19.747 -0.011 19.632 -0.009 20.008 -0.011 20.633 -0.017 15.256 7.737 0.000 0.000 28.007 28.362
245.200 19.823 -0.010 19.798 -0.009 20.161 -0.012 20.806 -0.018 16.609 8.613 0.000 0.000 28.036 28.397
251.200 19.896 -0.009 19.958 -0.008 20.302 -0.012 20.961 -0.022 17.728 8.862 0.000 0.000 28.052 28.395
254.200 19.934 -0.010 20.039 -0.009 20.371 -0.013 21.035 -0.024 18.430 9.023 0.000 0.000 28.066 28.399
266.200 20.103 -0.011 20.369 -0.011 20.647 -0.017 21.322 -0.033 23.319 11.264 0.000 0.000 28.201 28.520
281.100 20.349 -0.012 20.799 -0.013 21.001 -0.020 21.674 -0.043 38.387 27.707 0.000 0.000 28.611 29.096
284.200 20.400 -0.012 20.887 -0.014 21.073 -0.020 21.743 -0.045 44.715 39.500 0.000 0.000 28.760 29.331
296.000 20.572 -0.013 21.188 -0.016 21.313 -0.021 21.972 -0.049 115.222 360.142 0.000 0.000 29.823 30.936
299.200 20.610 -0.013 21.260 -0.017 21.368 -0.021 22.022 -0.050 191.891 1097.019 0.000 0.000 30.447 31.821
302.200 20.646 -0.013 21.325 -0.018 21.418 -0.021 22.068 -0.051 486.848 7691.714 0.000 0.000 31.624 33.438
320.100 20.877 -0.014 21.716 -0.024 21.720 -0.024 22.328 -0.056 nan nan nan nan nan nan
323.200 20.921 -0.014 21.783 -0.025 21.772 -0.026 22.371 -0.058 nan nan nan nan nan nan
326.100 20.961 -0.015 21.844 -0.026 21.819 -0.027 22.409 -0.061 nan nan nan nan nan nan
329.200 21.004 -0.016 21.909 -0.028 21.869 -0.029 22.448 -0.063 nan nan nan nan nan nan
331.900 21.042 -0.017 21.965 -0.030 21.912 -0.030 22.481 -0.066 nan nan nan nan nan nan
337.900 21.136 -0.020 22.095 -0.034 22.013 -0.035 22.558 -0.073 nan nan nan nan nan nan
367.900 21.631 -0.041 22.714 -0.068 22.505 -0.059 22.904 -0.135 nan nan nan nan nan nan
385.900 21.861 -0.045 22.978 -0.100 22.727 -0.067 23.039 -0.202 nan nan nan nan nan nan
388.900 21.885 -0.049 23.006 -0.108 22.751 -0.069 23.051 -0.217 nan nan nan nan nan nan
400.900 21.926 -0.096 23.057 -0.153 22.804 -0.095 23.063 -0.298 357.228 10560.574 0.000 0.000 30.660 32.747
218.200 19.495 -0.009 19.024 -0.009 19.373 -0.010 19.868 -0.012 9.579 2.838 0.000 0.000 27.850 28.005
221.200 19.523 -0.008 19.107 -0.008 19.469 -0.010 19.989 -0.013 9.924 3.158 0.000 0.000 27.850 28.036
239.200 19.747 -0.011 19.632 -0.009 20.008 -0.011 20.633 -0.017 15.256 7.737 0.000 0.000 28.007 28.362
245.200 19.823 -0.010 19.798 -0.009 20.161 -0.012 20.806 -0.018 16.609 8.613 0.000 0.000 28.036 28.397
251.200 19.896 -0.009 19.958 -0.008 20.302 -0.012 20.961 -0.022 17.728 8.862 0.000 0.000 28.052 28.395
254.200 19.934 -0.010 20.039 -0.009 20.371 -0.013 21.035 -0.024 18.430 9.023 0.000 0.000 28.066 28.399
266.200 20.103 -0.011 20.369 -0.011 20.647 -0.017 21.322 -0.033 23.319 11.264 0.000 0.000 28.201 28.520
281.100 20.349 -0.012 20.799 -0.013 21.001 -0.020 21.674 -0.043 38.387 27.707 0.000 0.000 28.611 29.096
284.200 20.400 -0.012 20.887 -0.014 21.073 -0.020 21.743 -0.045 44.715 39.500 0.000 0.000 28.760 29.331
296.000 20.572 -0.013 21.188 -0.016 21.313 -0.021 21.972 -0.049 115.222 360.142 0.000 0.000 29.823 30.936
299.200 20.610 -0.013 21.260 -0.017 21.368 -0.021 22.022 -0.050 191.891 1097.019 0.000 0.000 30.447 31.821
302.200 20.646 -0.013 21.325 -0.018 21.418 -0.021 22.068 -0.051 486.848 7691.714 0.000 0.000 31.624 33.438
320.100 20.877 -0.014 21.716 -0.024 21.720 -0.024 22.328 -0.056 nan nan nan nan nan nan
323.200 20.921 -0.014 21.783 -0.025 21.772 -0.026 22.371 -0.058 nan nan nan nan nan nan
326.200 20.962 -0.015 21.846 -0.026 21.821 -0.027 22.410 -0.061 nan nan nan nan nan nan
329.200 21.004 -0.016 21.909 -0.028 21.869 -0.029 22.448 -0.063 nan nan nan nan nan nan
331.900 21.042 -0.017 21.965 -0.030 21.912 -0.030 22.481 -0.066 nan nan nan nan nan nan
337.900 21.136 -0.020 22.095 -0.034 22.013 -0.035 22.558 -0.073 nan nan nan nan nan nan
367.900 21.631 -0.041 22.714 -0.068 22.505 -0.059 22.904 -0.135 nan nan nan nan nan nan
367.900 21.631 -0.041 22.714 -0.068 22.505 -0.059 22.904 -0.135 nan nan nan nan nan nan
386.000 21.862 -0.045 22.979 -0.100 22.728 -0.067 23.039 -0.202 nan nan nan nan nan nan
388.900 21.885 -0.049 23.006 -0.108 22.751 -0.069 23.051 -0.217 nan nan nan nan nan nan
1444.900 23.117 -2.766 22.777 -0.288 22.394 -2.637 22.157 -4.525 5.279 0.744 0.000 0.000 26.362 26.289
0.000 34.064 -5.051 26.868 -2.823 22.436 -0.223 21.962 -2.485 1.028 0.123 0.000 0.000 30.014 30.375
213.200 19.459 -0.016 18.893 -0.016 19.212 -0.013 19.658 -0.013 9.101 2.510 0.000 0.000 27.860 27.981
216.200 19.479 -0.011 18.971 -0.011 19.309 -0.010 19.785 -0.011 9.454 2.731 0.000 0.000 27.856 27.998
219.200 19.504 -0.009 19.052 -0.008 19.405 -0.010 19.908 -0.012 9.659 2.916 0.000 0.000 27.848 28.012
237.200 19.721 -0.011 19.574 -0.009 19.953 -0.011 20.570 -0.016 14.685 7.249 0.000 0.000 27.991 28.336
243.200 19.798 -0.010 19.743 -0.009 20.112 -0.011 20.750 -0.018 16.214 8.425 0.000 0.000 28.029 28.392
246.200 19.835 -0.010 19.825 -0.009 20.185 -0.012 20.832 -0.019 16.792 8.676 0.000 0.000 28.038 28.398
