"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
239.300 22.302 -0.069 22.220 -0.058 22.123 -0.063 22.089 -0.152 7.402 0.497 0.000 0.000 26.629 26.174
254.400 22.146 -0.046 21.969 -0.037 21.879 -0.034 21.936 -0.096 7.023 0.208 0.000 0.000 26.705 25.899
257.400 22.147 -0.043 21.949 -0.033 21.862 -0.029 21.941 -0.085 6.958 0.177 0.000 0.000 26.707 25.835
260.400 22.154 -0.043 21.933 -0.031 21.849 -0.026 21.950 -0.076 6.896 0.172 0.000 0.000 26.709 25.825
266.300 22.178 -0.048 21.908 -0.033 21.825 -0.027 21.965 -0.059 6.822 0.268 0.000 0.000 26.710 26.024
281.400 22.316 -0.048 21.897 -0.030 21.769 -0.028 21.951 -0.035 6.476 0.497 0.000 0.000 26.691 26.299
284.300 22.367 -0.047 21.919 -0.027 21.774 -0.026 21.951 -0.034 6.321 0.493 0.000 0.000 26.681 26.301
287.300 22.432 -0.050 21.956 -0.026 21.792 -0.025 21.959 -0.037 6.128 0.465 0.000 0.000 26.667 26.280
290.200 22.508 -0.058 22.008 -0.030 21.823 -0.029 21.977 -0.046 5.942 0.420 0.000 0.000 26.647 26.235
296.200 22.705 -0.084 22.166 -0.050 21.938 -0.049 22.055 -0.073 5.628 0.320 0.000 0.000 26.588 26.095
323.100 23.687 -0.174 23.184 -0.097 22.868 -0.093 22.806 -0.125 5.144 0.139 0.000 0.000 26.218 25.417
239.300 22.302 -0.069 22.220 -0.058 22.123 -0.063 22.089 -0.152 7.402 0.497 0.000 0.000 26.629 26.174
254.400 22.146 -0.046 21.969 -0.037 21.879 -0.034 21.936 -0.096 7.023 0.208 0.000 0.000 26.705 25.899
257.400 22.147 -0.043 21.949 -0.033 21.862 -0.029 21.941 -0.085 6.958 0.177 0.000 0.000 26.707 25.835
260.400 22.154 -0.043 21.933 -0.031 21.849 -0.026 21.950 -0.076 6.896 0.172 0.000 0.000 26.709 25.825
266.400 22.178 -0.048 21.908 -0.034 21.825 -0.027 21.965 -0.059 6.821 0.271 0.000 0.000 26.710 26.028
281.400 22.316 -0.048 21.897 -0.030 21.769 -0.028 21.951 -0.035 6.476 0.497 0.000 0.000 26.691 26.299
284.300 22.367 -0.047 21.919 -0.027 21.774 -0.026 21.951 -0.034 6.321 0.493 0.000 0.000 26.681 26.301
287.300 22.432 -0.050 21.956 -0.026 21.792 -0.025 21.959 -0.037 6.128 0.465 0.000 0.000 26.667 26.280
290.200 22.508 -0.058 22.008 -0.030 21.823 -0.029 21.977 -0.046 5.942 0.420 0.000 0.000 26.647 26.235
296.200 22.705 -0.084 22.166 -0.050 21.938 -0.049 22.055 -0.073 5.628 0.320 0.000 0.000 26.588 26.095
323.100 23.687 -0.174 23.184 -0.097 22.868 -0.093 22.806 -0.125 5.144 0.139 0.000 0.000 26.218 25.417
326.100 23.733 -0.180 23.248 -0.095 22.936 -0.087 22.866 -0.117 5.156 0.149 0.000 0.000 26.192 25.417
329.100 23.760 -0.189 23.293 -0.094 22.988 -0.080 22.913 -0.110 5.176 0.157 0.000 0.000 26.174 25.414
344.200 23.700 -0.274 23.316 -0.134 23.060 -0.078 22.989 -0.126 5.430 0.180 0.000 0.000 26.155 25.417
371.100 23.881 -0.437 23.612 -0.229 23.422 -0.128 23.356 -0.267 5.916 0.268 0.000 0.000 26.031 25.417
0.000 23.319 -0.781 23.135 -0.471 23.069 -0.264 23.119 -0.430 7.040 0.137 0.000 0.000 26.235 25.226
240.300 22.280 -0.065 22.192 -0.055 22.094 -0.058 22.064 -0.146 7.369 0.474 0.000 0.000 26.638 26.165
255.400 22.146 -0.045 21.962 -0.036 21.873 -0.032 21.937 -0.092 7.002 0.196 0.000 0.000 26.706 25.875
261.300 22.157 -0.043 21.929 -0.031 21.846 -0.026 21.953 -0.073 6.880 0.177 0.000 0.000 26.709 25.840
264.400 22.169 -0.046 21.916 -0.032 21.833 -0.026 21.961 -0.064 6.838 0.224 0.000 0.000 26.710 25.945
270.400 22.202 -0.051 21.894 -0.036 21.806 -0.030 21.967 -0.051 6.789 0.369 0.000 0.000 26.709 26.163
282.400 22.333 -0.047 21.903 -0.029 21.770 -0.027 21.950 -0.034 6.427 0.498 0.000 0.000 26.688 26.302
288.300 22.457 -0.053 21.972 -0.027 21.801 -0.026 21.964 -0.040 6.062 0.451 0.000 0.000 26.660 26.267
291.200 22.537 -0.062 22.029 -0.033 21.838 -0.032 21.986 -0.050 5.883 0.403 0.000 0.000 26.638 26.215
327.100 23.744 -0.183 23.265 -0.094 22.955 -0.084 22.883 -0.115 5.162 0.152 0.000 0.000 26.185 25.416
339.100 23.741 -0.240 23.332 -0.113 23.058 -0.070 22.982 -0.107 5.321 0.171 0.000 0.000 26.153 25.406
345.200 23.692 -0.281 23.313 -0.138 23.061 -0.080 22.990 -0.131 5.453 0.182 0.000 0.000 26.156 25.419
348.100 23.673 -0.301 23.307 -0.151 23.064 -0.087 22.996 -0.147 5.517 0.187 0.000 0.000 26.157 25.427
366.100 23.777 -0.407 23.487 -0.209 23.288 -0.113 23.226 -0.239 5.838 0.242 0.000 0.000 26.081 25.429
369.100 23.836 -0.424 23.559 -0.219 23.365 -0.119 23.301 -0.255 5.884 0.257 0.000 0.000 26.052 25.422
375.100 23.976 -0.468 23.724 -0.259 23.541 -0.165 23.472 -0.299 5.991 0.294 0.000 0.000 25.988 25.408
265.300 22.173 -0.047 21.912 -0.033 21.830 -0.026 21.963 -0.062 6.829 0.244 0.000 0.000 26.710 25.983
271.400 22.209 -0.051 21.891 -0.036 21.801 -0.031 21.967 -0.049 6.778 0.391 0.000 0.000 26.708 26.188
280.400 22.301 -0.048 21.892 -0.031 21.769 -0.029 21.952 -0.036 6.522 0.495 0.000 0.000 26.693 26.296
283.400 22.350 -0.047 21.911 -0.028 21.771 -0.027 21.950 -0.034 6.373 0.497 0.000 0.000 26.684 26.302
286.400 22.411 -0.049 21.943 -0.026 21.785 -0.025 21.956 -0.036 6.188 0.476 0.000 0.000 26.671 26.289
289.300 22.483 -0.055 21.990 -0.028 21.812 -0.028 21.970 -0.043 5.997 0.435 0.000 0.000 26.653 26.251
