#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
HST/STIS_FUV.F25LYA	1248.7	1369.5	1150	1512	99.7	59.9	HST	STIS	F25LYA filter for HST STIS_FUV, with no grating
HST/STIS_FUV.F25LYA_G140L	1250.8	1359.0	1150	1522	116.7	64.0	HST	STIS	F25LYA filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25LYA_G140M	1251.3	1356.1	1150	1512	112.2	62.9	HST	STIS	F25LYA filter for HST STIS_FUV, with G140M grating
IUE/IUE.1250-1300	1275.0	1284.7	1249	1301	51.0	78.5	IUE	 	IUE 1250-1300 A
HST/ACS_SBC.F122M	1284.6	1421.3	1150	1703	136.6	119.6	HST	ACS	F122M filter for HST ACS_SBC
TD1/SPEC.F1360	1360.0	1360.5	1307	1404	36.2	305.8	TD1	TD1	TD1 Spectrophotometric filter at 1360A
HST/STIS_FUV.25MAMA_G140M	1366.6	1443.3	1150	1742	278.7	263.9	HST	STIS	25MAMA filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.F25ND3_G140M	1369.0	1441.7	1150	1742	278.0	269.1	HST	STIS	F25ND3 filter for HST STIS_FUV, with G140M grating
HST/STIS_FUV.25MAMA_G140L	1370.1	1446.0	1150	1725	298.0	271.2	HST	STIS	25MAMA filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25ND3_G140L	1372.8	1444.7	1150	1725	296.0	276.6	HST	STIS	F25ND3 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25ND5_G140M	1376.0	1452.5	1150	1742	282.5	276.4	HST	STIS	F25ND5 filter for HST STIS_FUV, with G140M grating
TD1/SPEC.F1380	1380.0	1380.6	1327	1424	36.2	333.0	TD1	TD1	TD1 Spectrophotometric filter at 1380A
HST/STIS_FUV.F25ND5_G140L	1380.0	1455.3	1150	1725	302.8	284.2	HST	STIS	F25ND5 filter for HST STIS_FUV, with G140L grating
HST/STIS_FUV.F25NDQ2_G140M	1390.8	1458.6	1160	1742	312.1	301.4	HST	STIS	F25NDQ2 filter for HST STIS_FUV, with G140M grating
