"Time (MJD)" Generic/Bessell.B Generic/Bessell.B_err Generic/Bessell.U Generic/Bessell.U_err Generic/Bessell.V Generic/Bessell.V_err SLOAN/SDSS.i SLOAN/SDSS.i_err SLOAN/SDSS.r SLOAN/SDSS.r_err Swift/UVOT.UVW1 Swift/UVOT.UVW1_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
57530.180 -21.892 -0.031 -21.829 -0.026 -21.588 -0.020 -21.562 -0.018 -21.356 -0.019 -21.121 -0.022 16.594 1.157 2.636 0.202 44.574 44.077
57531.270 -21.910 -0.027 -21.870 -0.024 -21.635 -0.017 -21.613 -0.015 -21.413 -0.017 -21.178 -0.020 16.236 1.112 2.759 0.211 44.576 44.073
57532.190 -21.922 -0.025 -21.903 -0.022 -21.673 -0.015 -21.654 -0.014 -21.458 -0.015 -21.224 -0.019 15.941 1.075 2.866 0.218 44.577 44.068
57533.220 -21.932 -0.023 -21.938 -0.020 -21.713 -0.013 -21.697 -0.012 -21.506 -0.013 -21.272 -0.018 15.619 1.034 2.987 0.226 44.578 44.062
57534.180 -21.938 -0.021 -21.968 -0.019 -21.748 -0.012 -21.734 -0.011 -21.548 -0.013 -21.315 -0.017 15.327 0.994 3.100 0.234 44.577 44.055
57535.260 -21.941 -0.020 -21.998 -0.018 -21.785 -0.011 -21.773 -0.010 -21.592 -0.012 -21.361 -0.017 15.011 0.947 3.229 0.241 44.577 44.044
57536.230 -21.940 -0.019 -22.023 -0.017 -21.816 -0.010 -21.806 -0.010 -21.629 -0.012 -21.399 -0.017 14.739 0.903 3.344 0.246 44.575 44.031
57537.240 -21.936 -0.019 -22.046 -0.017 -21.847 -0.010 -21.837 -0.009 -21.664 -0.012 -21.436 -0.017 14.466 0.854 3.464 0.249 44.573 44.015
57538.170 -21.929 -0.019 -22.065 -0.016 -21.872 -0.009 -21.863 -0.009 -21.694 -0.012 -21.469 -0.017 14.224 0.808 3.574 0.251 44.571 43.998
57541.220 -21.884 -0.019 -22.110 -0.016 -21.941 -0.009 -21.933 -0.009 -21.777 -0.013 -21.559 -0.017 13.482 0.656 3.933 0.247 44.561 43.926
57542.200 -21.863 -0.019 -22.119 -0.015 -21.959 -0.009 -21.951 -0.008 -21.798 -0.013 -21.584 -0.018 13.256 0.608 4.047 0.243 44.557 43.898
57543.240 -21.838 -0.019 -22.125 -0.015 -21.975 -0.009 -21.966 -0.008 -21.817 -0.013 -21.607 -0.018 13.022 0.559 4.168 0.238 44.551 43.866
57544.160 -21.812 -0.019 -22.129 -0.015 -21.986 -0.009 -21.978 -0.008 -21.832 -0.014 -21.626 -0.019 12.818 0.518 4.275 0.233 44.546 43.836
57545.180 -21.780 -0.019 -22.129 -0.015 -21.997 -0.009 -21.988 -0.008 -21.846 -0.014 -21.644 -0.019 12.596 0.474 4.393 0.226 44.539 43.801
57546.280 -21.742 -0.019 -22.127 -0.015 -22.006 -0.009 -21.997 -0.008 -21.858 -0.014 -21.661 -0.020 12.360 0.432 4.520 0.220 44.531 43.763
57547.210 -21.707 -0.019 -22.122 -0.015 -22.011 -0.009 -22.001 -0.008 -21.866 -0.015 -21.673 -0.021 12.162 0.401 4.627 0.216 44.523 43.732
57548.180 -21.667 -0.019 -22.114 -0.016 -22.014 -0.010 -22.004 -0.009 -21.873 -0.015 -21.684 -0.022 11.957 0.374 4.738 0.214 44.515 43.703
57552.160 -21.476 -0.020 -22.056 -0.017 -22.002 -0.013 -21.993 -0.011 -21.877 -0.017 -21.709 -0.027 11.135 0.326 5.190 0.237 44.470 43.641
57556.190 -21.240 -0.024 -21.955 -0.021 -21.953 -0.018 -21.950 -0.015 -21.851 -0.019 -21.705 -0.032 10.377 0.325 5.609 0.294 44.415 43.628
57558.180 -21.110 -0.028 -21.890 -0.024 -21.916 -0.021 -21.918 -0.017 -21.828 -0.021 -21.693 -0.034 10.037 0.325 5.793 0.322 44.385 43.617
57559.170 -21.043 -0.030 -21.854 -0.025 -21.895 -0.022 -21.900 -0.019 -21.814 -0.022 -21.685 -0.034 9.877 0.323 5.878 0.334 44.370 43.609
57529.760 -21.884 -0.033 -21.812 -0.028 -21.569 -0.021 -21.542 -0.019 -21.333 -0.020 -21.099 -0.023 16.735 1.175 2.588 0.199 44.573 44.079
